"","RouteNo","Delivery_Longitude","Delivery_Latitude","#Items","Distance","Time_Taken_to_address","RouteStopNo"
"1",1,-80.258231,25.690836,1,614,988,2
"2",1,-80.264155,25.703273,1,2671,2299,4
"3",1,-80.27688,25.724614,1,4535,615,1
"4",1,-80.2770622,25.7013263,1,918,3271,6
"5",1,-80.280433,25.707511,1,1938,2828,5
"6",1,-80.281836,25.724597,1,3244,1634,3
"7",2,-80.3199609,25.6916225,1,2156,1589,4
"8",2,-80.319419,25.691144,1,528,581,2
"9",2,-80.321551,25.6955997,1,7915,4137,8
"10",2,-80.318749,25.69981,1,3218,2721,6
"11",2,-80.3002535,25.6799803,1,1324,1027,3
"12",2,-80.2996762,25.6972304,1,1085,2046,5
"13",2,-80.2996171,25.7007848,1,1260,193,1
"14",2,-80.28908,25.67735,1,925,3127,7
"15",3,-80.330828,25.657452,1,1044,735,2
"16",3,-80.324472,25.671601,1,1703,2395,5
"17",3,-80.3217063,25.6830265,1,1827,277,1
"18",3,-80.318996,25.665812,1,1078,1817,4
"19",3,-80.3202869,25.678051,1,2566,1351,3
