"","RouteNo","Delivery_Longitude","Delivery_Latitude","#Items","Distance","Time_Taken_to_address","RouteStopNo"
"1",1,-80.282269,25.651743,1,2552,1168,3
"2",1,-80.2872131,25.6455173,1,1235,3503,8
"3",1,-80.2895286,25.6778256,1,2837,5107,11
"4",1,-80.290699,25.6795248,1,1088,6499,14
"5",1,-80.2942068,25.6366183,1,0,1919,5
"6",1,-80.297298,25.682157,1,1088,198,1
"7",1,-80.301575,25.655319,1,1272,4523,10
"8",1,-80.31192,25.642508,1,929,595,2
"9",1,-80.316177,25.678508,1,3140,7125,15
"10",1,-80.3183729,25.681542,1,651,2948,7
"11",1,-80.3191853,25.6758153,1,2837,6096,13
"12",1,-80.320352,25.685682,1,2910,2541,6
"13",1,-80.3220256,25.6774994,1,1216,1619,4
"14",1,-80.3220269,25.6775332,1,2002,4023,9
"15",1,-80.326495,25.652205,1,304,5455,12
"16",2,-80.320061,25.703547,1,1030,4314,9
"17",2,-80.309758,25.716853,1,892,732,2
"18",2,-80.308552,25.71359,1,696,2721,6
"19",2,-80.30438,25.698025,1,2016,5538,11
"20",2,-80.297533,25.702298,1,1329,1760,4
"21",2,-80.291071,25.700767,1,2816,4925,10
"22",2,-80.294425,25.694422,1,1354,2299,5
"23",2,-80.2912769,25.694727,1,1646,3834,8
"24",2,-80.283813,25.7057639,1,767,1152,3
"25",2,-80.320038,25.693767,1,2292,3297,7
"26",2,-80.278322,25.70324,1,2252,243,1
"27",3,-80.284476,25.719607,1,480,941,2
"28",3,-80.275708,25.741908,1,2706,1519,3
"29",3,-80.267826,25.732397,1,983,2492,5
"30",3,-80.2661153,25.7291013,1,1665,2048,4
"31",3,-80.2651,25.728174,1,6998,574,1
