"","RouteNo","Delivery_Longitude","Delivery_Latitude","#Items","Distance","Time_Taken_to_address","RouteStopNo"
"1",1,-80.265329,25.707766,1,1748,1535,3
"2",1,-80.269729,25.715917,1,1117,3920,8
"3",1,-80.27375,25.731818,1,2701,413,1
"4",1,-80.280433,25.707511,1,968,2442,5
"5",1,-80.28478,25.696568,1,2357,4562,9
"6",1,-80.2856694,25.7098246,1,2206,5230,10
"7",1,-80.290115,25.716059,1,1091,3457,7
"8",1,-80.292057,25.707339,1,1187,1992,4
"9",1,-80.292873,25.698349,1,1976,3009,6
"10",1,-80.298867,25.71462,1,2170,1022,2
"11",2,-80.33163,25.654032,1,2014,743,2
"12",2,-80.3238541,25.6700836,1,1269,1795,4
"13",2,-80.3203993,25.6866117,1,5318,3271,6
"14",2,-80.319419,25.691144,1,8733,6200,10
"15",2,-80.314057,25.693289,1,2003,4362,8
"16",2,-80.313987,25.633583,1,3492,5097,9
"17",2,-80.3111334,25.6853566,1,915,3737,7
"18",2,-80.289477,25.677048,1,978,179,1
"19",2,-80.2878794,25.6579955,1,2838,2464,5
"20",2,-80.285471,25.663431,1,2400,1326,3
