"","RouteNo","Delivery_Longitude","Delivery_Latitude","#Items","Distance","Time_Taken_to_address","RouteStopNo"
"1",1,-80.2878794,25.6579955,1,6409,757,0
"2",1,-80.3072059,25.671726,1,5636,647,0
"3",1,-80.308387,25.632734,1,2661,338,0
"4",1,-80.31261,25.687249,1,1260,193,0
"5",1,-80.314392,25.6582909,1,205,468,2
"6",1,-80.318321,25.6862819,1,5636,647,0
"7",1,-80.319419,25.691144,1,311,141,1
"8",1,-80.3211167,25.6463375,1,2895,405,0
"9",1,-80.321372,25.646428,1,1106,203,0
"10",1,-80.3214267,25.6902131,1,4435,543,0
"11",1,-80.3216349,25.6973583,1,7913,837,0
"12",1,-80.325345,25.635738,1,6001,656,0
"13",2,-80.3228943,25.7156247,1,2409,919,2
"14",2,-80.304014,25.747484,1,1778,2198,4
"15",2,-80.2960839,25.714775,1,2536,3523,6
"16",2,-80.291433,25.7162909,1,3237,5201,9
"17",2,-80.286698,25.717653,1,1510,4027,7
"18",2,-80.27216,25.711163,1,562,4441,8
"19",2,-80.265673,25.732589,1,3327,1602,3
"20",2,-80.2618169,25.723844,1,4713,2979,5
"21",2,-80.256122,25.708105,1,4308,369,1
