"","RouteNo","Delivery_Longitude","Delivery_Latitude","#Items","Distance","Time_Taken_to_address","RouteStopNo"
"1",1,-80.30423,25.646846,1,3620,468,1
"2",1,-80.3211545,25.646343,1,2595,1650,3
"3",1,-80.325359,25.636084,1,2462,3241,6
"4",1,-80.328301,25.645086,1,1214,3702,7
"5",1,-80.331484,25.632541,1,1059,2105,4
"6",1,-80.333724,25.656024,1,1595,2558,5
"7",1,-80.333775,25.670442,1,2370,1019,2
"8",2,-80.3214633,25.6739117,1,4384,4410,7
"9",2,-80.319244,25.708493,1,1482,3785,6
"10",2,-80.3192132,25.6844006,1,7142,3262,5
"11",2,-80.3120615,25.7120021,1,3500,930,2
"12",2,-80.29376,25.698825,1,1122,179,1
"13",2,-80.292365,25.674102,1,2742,1576,3
"14",2,-80.277477,25.678082,1,2917,2198,4
"15",3,-80.292057,25.707339,1,5076,5629,11
"16",3,-80.2884199,25.7098854,1,951,1543,3
"17",3,-80.287257,25.7164499,1,2572,1104,2
"18",3,-80.2862273,25.7103572,1,1089,2783,6
"19",3,-80.288452,25.710541,1,1715,4302,9
"20",3,-80.2842942,25.6988891,1,1221,3689,8
"21",3,-80.284075,25.715908,1,368,3174,7
"22",3,-80.2806347,25.710941,1,108,1865,4
"23",3,-80.285559,25.723285,1,1242,2365,5
"24",3,-80.26661,25.734274,1,743,4721,10
"25",3,-80.264989,25.7195,1,4732,488,1
